"ID","Case Number","Date","Block","IUCR","Primary Type","Description","Location Description","Arrest","Domestic","Beat","District","Ward","Community Area","FBI Code","X Coordinate","Y Coordinate","Year","Updated On","Latitude","Longitude","Location"
"14088339","JK121843","01/18/2026 03:00:00 PM","050XX W CULLOM AVE","2825","OTHER OFFENSE","HARASSMENT BY TELEPHONE","RESIDENCE","false","true","1624","016","45","15","26","1141886","1928117","2026","01/26/2026 03:42:39 PM","41,958820148","-87,753764551","POINT (-87.753764551 41.958820148)"
"14087673","JK120686","01/18/2026 03:00:00 PM","003XX W 64TH ST","0820","THEFT","$500 AND UNDER","HOSPITAL BUILDING / GROUNDS","false","false","0722","007","20","68","06","1175044","1862506","2026","01/26/2026 03:42:39 PM","41,778099133","-87,633828531","POINT (-87.633828531 41.778099133)"
"14087370","JK120419","01/18/2026 03:00:00 PM","049XX W WASHINGTON BLVD","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","1533","015","28","25","07","1143438","1900049","2026","01/26/2026 03:42:39 PM","41,881769712","-87,74876212","POINT (-87.74876212 41.881769712)"
"14086913","JK119937","01/18/2026 02:58:00 PM","025XX S MILLARD AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","BARBERSHOP","true","false","1013","010","22","30","14","1152441","1886984","2026","01/26/2026 03:42:39 PM","41,845744824","-87,716047996","POINT (-87.716047996 41.845744824)"
"14086900","JK119966","01/18/2026 02:57:00 PM","0000X S MICHIGAN AVE","0820","THEFT","$500 AND UNDER","RESTAURANT","false","false","0112","001","34","32","06","1177316","1900287","2026","01/26/2026 03:42:39 PM","41,881722193","-87,624356274","POINT (-87.624356274 41.881722193)"
"14086897","JK119897","01/18/2026 02:55:00 PM","004XX N MICHIGAN AVE","1330","CRIMINAL TRESPASS","TO LAND","DEPARTMENT STORE","true","false","1834","018","42","8","26","1177329","1903108","2026","01/26/2026 03:42:39 PM","41,88946287","-87,624222942","POINT (-87.624222942 41.88946287)"
"14086867","JK119883","01/18/2026 02:53:00 PM","034XX W BELMONT AVE","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false","1732","017","35","21","06","1152928","1921067","2026","01/26/2026 03:42:39 PM","41,939262335","-87,71335694","POINT (-87.71335694 41.939262335)"
"14086890","JK119890","01/18/2026 02:51:00 PM","004XX N DRAKE AVE","1330","CRIMINAL TRESPASS","TO LAND","CHA HALLWAY / STAIRWELL / ELEVATOR","true","false","1123","011","27","23","26","1152639","1902732","2026","01/26/2026 03:42:39 PM","41,88895519","-87,714904997","POINT (-87.714904997 41.88895519)"
"14087144","JK119927","01/18/2026 02:50:00 PM","075XX S LAFAYETTE AVE","0497","BATTERY","AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON","APARTMENT","false","true","0623","006","6","69","04B","1177146","1854919","2026","01/26/2026 03:42:39 PM","41,75723239","-87,626351189","POINT (-87.626351189 41.75723239)"
"29019","JK119874","01/18/2026 02:49:00 PM","064XX S DREXEL AVE","0110","HOMICIDE","FIRST DEGREE MURDER","YARD","false","false","0312","003","20","42","01A","1183500","1862488","2026","01/26/2026 03:42:39 PM","41,777856806","-87,60282938","POINT (-87.60282938 41.777856806)"
